id,nombre,precio,foto
1,Zapatillas deportivas,59.99 €,images/zapatillas.jpg
2,Camiseta algodón,15.00 €,images/camiseta.jpg
3,Pantalón vaquero,39.50 €,images/vaquero.jpg
4,Reloj deportivo,120.00 €,images/reloj.jpg
5,Gorra clásica,20.00 €,images/gorra.jpg
6,Mochila de cuero,85.00 €,images/mochila.jpg
7,Chaqueta impermeable,99.99 €,images/chaqueta.webp
8,Gafas de sol,45.50 €,images/gafas.jpg
9,Bolso de mano,55.00 €,images/bolso.jpg
10,Pulsera de plata,22.75 €,images/pulsera.jpg
11,Cinturón de cuero,29.99 €,images/cinturon.jpg
12,Botas de montaña,75.00 €,images/botas.jpg
13,Sombrero de paja,18.00 €,images/sombrero.jpg
14,Calcetines deportivos,8.99 €,images/calcetines.jpg
15,Chaqueta de punto,60.00 €,images/chaqueta_punto.jpg
16,Shorts deportivos,32.50 €,images/shorts.jpg
17,Shorts deportivos 2,40.50 €,images/shorts.jpg
